index,country,first_author_count,last_author_count,first_author_share(%),last_author_share(%)
0,Canada,0,1,0.0,3.85
1,China,9,8,34.62,30.77
2,Finland,0,1,0.0,3.85
3,France,1,1,3.85,3.85
4,Germany,1,0,3.85,0.0
5,Japan,3,4,11.54,15.38
6,Korea,5,3,19.23,11.54
7,Netherlands,0,1,0.0,3.85
8,Switzerland,1,0,3.85,0.0
9,United Arab Emirates,0,2,0.0,7.69
10,United States,6,5,23.08,19.23
0,China,2,2,20.0,20.0
1,"Hong Kong, China",1,1,10.0,10.0
2,Korea,4,5,40.0,50.0
3,Taiwan,1,1,10.0,10.0
4,United States,2,1,20.0,10.0
0,China,7,5,28.0,20.83
1,France,1,2,4.0,8.33
2,Germany,2,2,8.0,8.33
3,"Hong Kong, China",1,0,4.0,0.0
4,Ireland,1,0,4.0,0.0
5,Japan,1,0,4.0,0.0
6,"Macau, China",2,0,8.0,0.0
7,Netherlands,3,2,12.0,8.33
8,Portugal,0,2,0.0,8.33
9,Switzerland,1,1,4.0,4.17
10,Taiwan,2,4,8.0,16.67
11,United Kingdom,0,1,0.0,4.17
12,United States,4,5,16.0,20.83
0,Belgium,1,1,6.25,6.25
1,China,10,10,62.5,62.5
2,Ireland,0,1,0.0,6.25
3,"Macau, China",3,0,18.75,0.0
4,Portugal,0,3,0.0,18.75
5,Taiwan,1,0,6.25,0.0
6,United States,1,1,6.25,6.25
0,China,4,4,23.53,23.53
1,Germany,1,1,5.88,5.88
2,India,0,1,0.0,5.88
3,Korea,5,2,29.41,11.76
4,Taiwan,1,0,5.88,0.0
5,United Kingdom,1,1,5.88,5.88
6,United States,5,8,29.41,47.06
0,Austria,1,1,5.88,5.88
1,China,5,5,29.41,29.41
2,"Hong Kong, China",1,1,5.88,5.88
3,Ireland,1,0,5.88,0.0
4,Italy,1,0,5.88,0.0
5,Japan,1,1,5.88,5.88
6,Korea,2,2,11.76,11.76
7,"Macau, China",2,0,11.76,0.0
8,Portugal,0,2,0.0,11.76
9,Switzerland,1,2,5.88,11.76
10,Taiwan,1,1,5.88,5.88
11,United Kingdom,0,1,0.0,5.88
12,United States,1,1,5.88,5.88
0,China,1,2,16.67,33.33
1,Germany,1,1,16.67,16.67
2,Korea,1,1,16.67,16.67
3,Singapore,1,0,16.67,0.0
4,Taiwan,1,1,16.67,16.67
5,United States,1,1,16.67,16.67
0,Canada,2,1,7.41,3.57
1,China,3,4,11.11,14.29
2,Japan,1,1,3.7,3.57
3,Korea,11,10,40.74,35.71
4,Netherlands,2,1,7.41,3.57
5,Switzerland,1,0,3.7,0.0
6,Taiwan,1,2,3.7,7.14
7,United Kingdom,1,1,3.7,3.57
8,United States,5,8,18.52,28.57
0,Denmark,0,1,0.0,8.33
1,Germany,1,1,8.33,8.33
2,Korea,3,3,25.0,25.0
3,United States,8,7,66.67,58.33
0,China,5,4,29.41,23.53
1,India,0,1,0.0,5.88
2,Japan,0,1,0.0,5.88
3,Korea,5,4,29.41,23.53
4,"Macau, China",0,1,0.0,5.88
5,Singapore,0,1,0.0,5.88
6,Taiwan,4,2,23.53,11.76
7,United States,3,3,17.65,17.65
0,China,8,12,26.67,40.0
1,France,0,1,0.0,3.33
2,Germany,0,1,0.0,3.33
3,Korea,6,6,20.0,20.0
4,"Macau, China",7,0,23.33,0.0
5,Netherlands,2,0,6.67,0.0
6,Portugal,0,3,0.0,10.0
7,Taiwan,2,2,6.67,6.67
8,United States,5,5,16.67,16.67
0,China,2,2,20.0,20.0
1,India,2,1,20.0,10.0
2,Korea,1,1,10.0,10.0
3,Taiwan,3,2,30.0,20.0
4,United States,2,4,20.0,40.0
0,China,2,2,20.0,20.0
1,Italy,1,1,10.0,10.0
2,Jordan,1,0,10.0,0.0
3,Switzerland,1,1,10.0,10.0
4,United States,5,6,50.0,60.0
0,China,8,7,50.0,43.75
1,Germany,0,1,0.0,6.25
2,Japan,1,1,6.25,6.25
3,Korea,2,2,12.5,12.5
4,Netherlands,1,0,6.25,0.0
5,Singapore,0,1,0.0,6.25
6,Switzerland,2,2,12.5,12.5
7,United States,2,2,12.5,12.5
0,Canada,0,1,0.0,5.26
1,China,9,8,47.37,42.11
2,"Hong Kong, China",0,1,0.0,5.26
3,Italy,0,1,0.0,5.26
4,Korea,1,0,5.26,0.0
5,Switzerland,0,1,0.0,5.26
6,Taiwan,3,2,15.79,10.53
7,United States,6,5,31.58,26.32
